Domen | Tugash muddati | Status
cd.uz | 02-Dec-2033 | ACTIVE
ce.uz | 02-Oct-2026 | ACTIVE
cf.uz | 25-Feb-2027 | ACTIVE
cg.uz | 03-Feb-2027 | ACTIVE
ch.uz | 13-Oct-2026 | ACTIVE
ci.uz | 07-Oct-2026 | ACTIVE
cj.uz | 09-Jul-2026 | ACTIVE
ck.uz | 07-Oct-2026 | ACTIVE
cl.uz | 21-Jul-2026 | ACTIVE
cm.uz | - | RESERVED
cn.uz | 14-Oct-2026 | ACTIVE
co.uz | 27-Dec-2026 | ACTIVE
cp.uz | 02-Nov-2026 | ACTIVE
cq.uz | 04-Aug-2026 | ACTIVE
cr.uz | 11-Jun-2029 | ACTIVE
cs.uz | 27-May-2026 | ACTIVE
ct.uz | 14-Mar-2026 | ACTIVE
cu.uz | 24-Mar-2026 | ACTIVE
cv.uz | 06-Feb-2029 | ACTIVE
cw.uz | 09-Jul-2026 | ACTIVE
cx.uz | 08-Oct-2026 | ACTIVE
cy.uz | 23-Jul-2026 | ACTIVE
cz.uz | 09-Jul-2026 | ACTIVE
c0.uz | 26-Jul-2026 | ACTIVE
c1.uz | 21-Jan-2033 | ACTIVE
c2.uz | 30-Jan-2030 | ACTIVE
c3.uz | 26-Jul-2026 | ACTIVE
c4.uz | 28-May-2026 | ACTIVE
c5.uz | 16-Jan-2034 | ACTIVE
c6.uz | 26-Jul-2026 | ACTIVE
c7.uz | 26-Jul-2026 | ACTIVE
c8.uz | 26-Jul-2026 | ACTIVE
c9.uz | 26-Jul-2026 | ACTIVE
da.uz | 08-May-2026 | ACTIVE
db.uz | 23-Nov-2026 | ACTIVE
dc.uz | - | RESERVED
dd.uz | 30-Dec-2026 | ACTIVE
de.uz | 05-Dec-2033 | ACTIVE
df.uz | 23-Jun-2026 | ACTIVE
dg.uz | 07-Oct-2026 | ACTIVE
dh.uz | 12-Dec-2026 | ACTIVE
di.uz | 18-Oct-2026 | ACTIVE
dj.uz | 31-Mar-2027 | ACTIVE
dk.uz | 02-Apr-2027 | ACTIVE
dl.uz | 25-Aug-2027 | ACTIVE
dm.uz | 15-Feb-2027 | ACTIVE
dn.uz | 15-Nov-2026 | ACTIVE
do.uz | 23-Feb-2026 | ACTIVE
dp.uz | 26-Oct-2026 | ACTIVE
dq.uz | 21-Jul-2026 | ACTIVE
dr.uz | 26-Jan-2027 | ACTIVE
ds.uz | 07-Oct-2026 | ACTIVE
dt.uz | 20-Oct-2026 | ACTIVE
du.uz | 02-Oct-2026 | ACTIVE
dv.uz | 09-Jul-2026 | ACTIVE
dw.uz | 09-Jul-2026 | ACTIVE
dx.uz | 27-Dec-2026 | ACTIVE
dy.uz | 13-Jun-2030 | ACTIVE
dz.uz | 09-Jul-2026 | ACTIVE
d0.uz | 26-Jul-2026 | ACTIVE
d1.uz | 30-Apr-2026 | ACTIVE
d2.uz | 02-Jun-2027 | ACTIVE
d3.uz | 17-Sep-2026 | ACTIVE
d4.uz | 17-Feb-2026 | ACTIVE
d5.uz | 16-Sep-2026 | ACTIVE
d6.uz | 26-Jul-2026 | ACTIVE
d7.uz | 20-Feb-2027 | ACTIVE
d8.uz | 26-Jul-2026 | ACTIVE
d9.uz | 26-Jul-2026 | ACTIVE
ea.uz | 02-Nov-2026 | ACTIVE
eb.uz | 11-Sep-2026 | ACTIVE
ec.uz | 09-Aug-2032 | ACTIVE
ed.uz | 24-Jul-2028 | ACTIVE
ee.uz | 15-Jan-2027 | ACTIVE
ef.uz | 27-Dec-2026 | ACTIVE
eg.uz | 19-Oct-2027 | ACTIVE
eh.uz | 09-Jul-2026 | ACTIVE
ei.uz | 23-Jun-2026 | ACTIVE
ej.uz | 24-Nov-2034 | ACTIVE
ek.uz | 31-May-2026 | ACTIVE
el.uz | 24-Dec-2026 | ACTIVE
em.uz | 29-Jun-2026 | ACTIVE
en.uz | 09-Jul-2026 | ACTIVE
eo.uz | 29-Jun-2026 | ACTIVE
ep.uz | 10-Sep-2029 | ACTIVE
eq.uz | 21-Jul-2026 | ACTIVE
er.uz | 01-Apr-2028 | ACTIVE
es.uz | 10-Jan-2028 | ACTIVE
et.uz | 18-Jul-2026 | ACTIVE
eu.uz | 24-Mar-2026 | ACTIVE
ev.uz | 11-Sep-2026 | ACTIVE
ew.uz | 22-Aug-2027 | ACTIVE
ex.uz | 28-Sep-2036 | ACTIVE
ey.uz | 16-Apr-2026 | ACTIVE
ez.uz | 24-Mar-2027 | ACTIVE
e0.uz | 26-Jul-2026 | ACTIVE
e1.uz | 22-Mar-2028 | ACTIVE
e2.uz | 26-Jul-2026 | ACTIVE
e3.uz | 26-Jul-2026 | ACTIVE
e4.uz | 26-Jul-2026 | ACTIVE
e5.uz | 08-Aug-2026 | ACTIVE
e6.uz | 26-Jul-2026 | ACTIVE
e7.uz | 26-Jul-2026 | ACTIVE
e8.uz | 26-Jul-2026 | ACTIVE
e9.uz | 26-Jul-2026 | ACTIVE
fa.uz | 01-Feb-2034 | ACTIVE
fb.uz | 09-Mar-2029 | ACTIVE
fc.uz | 16-Jan-2027 | ACTIVE
fd.uz | 12-Dec-2026 | ACTIVE
fe.uz | 06-Dec-2026 | ACTIVE
ff.uz | 12-Dec-2026 | ACTIVE
fg.uz | 29-Aug-2030 | ACTIVE
fh.uz | 09-Jul-2026 | ACTIVE
fi.uz | 09-Jul-2026 | ACTIVE
fj.uz | 08-Aug-2028 | ACTIVE
fk.uz | 04-Apr-2030 | ACTIVE
fl.uz | 09-Nov-2026 | ACTIVE
fm.uz | 28-Jun-2030 | ACTIVE
fn.uz | 07-Oct-2026 | ACTIVE
fo.uz | 30-Jan-2028 | ACTIVE
fp.uz | 29-Jul-2026 | ACTIVE
fq.uz | 05-Oct-2026 | ACTIVE
fr.uz | 27-Mar-2027 | ACTIVE
fs.uz | 11-Oct-2026 | ACTIVE
ft.uz | 09-Jul-2026 | ACTIVE
fu.uz | 09-Jul-2026 | ACTIVE
fv.uz | 01-Jul-2026 | ACTIVE
fw.uz | 09-Jul-2026 | ACTIVE
fx.uz | 29-Jul-2026 | ACTIVE
fy.uz | 09-Jul-2026 | ACTIVE
fz.uz | 09-Jul-2026 | ACTIVE
f0.uz | 26-Jul-2026 | ACTIVE
f1.uz | 15-May-2026 | ACTIVE
f2.uz | 02-Jun-2027 | ACTIVE
f3.uz | 28-Feb-2027 | ACTIVE
f4.uz | 02-Jun-2026 | ACTIVE
f5.uz | 26-Mar-2026 | ACTIVE
f6.uz | 24-Jan-2027 | ACTIVE
f7.uz | 24-Nov-2026 | ACTIVE
f8.uz | 15-Aug-2026 | ACTIVE
f9.uz | 15-Nov-2026 | ACTIVE
ga.uz | 08-Oct-2026 | ACTIVE
gb.uz | 05-Mar-2030 | ACTIVE
gc.uz | 14-May-2026 | ACTIVE
gd.uz | 08-Oct-2026 | ACTIVE
ge.uz | 22-May-2026 | ACTIVE
gf.uz | 27-Dec-2026 | ACTIVE
gg.uz | 30-Dec-2026 | ACTIVE
gh.uz | 20-Mar-2032 | ACTIVE
gi.uz | 03-Dec-2026 | ACTIVE
gj.uz | 09-Jul-2026 | ACTIVE
gk.uz | 28-Sep-2026 | ACTIVE
gl.uz | 07-Mar-2030 | ACTIVE
gm.uz | 09-Jan-2029 | ACTIVE
gn.uz | 21-Apr-2026 | ACTIVE
go.uz | 27-Dec-2026 | ACTIVE
gp.uz | 05-Sep-2029 | ACTIVE
gq.uz | 17-Apr-2026 | ACTIVE
gr.uz | 18-Jul-2029 | ACTIVE
gs.uz | 08-Feb-2027 | ACTIVE
gt.uz | 24-Nov-2026 | ACTIVE
gu.uz | 09-Jul-2026 | ACTIVE
gv.uz | 09-Jul-2026 | ACTIVE
gw.uz | 09-Jul-2026 | ACTIVE
gx.uz | 16-Jun-2026 | ACTIVE
gy.uz | 06-Aug-2026 | ACTIVE
gz.uz | 09-Feb-2027 | ACTIVE
g0.uz | 26-Jul-2026 | ACTIVE
g1.uz | 27-Feb-2028 | ACTIVE
g2.uz | 15-Jun-2029 | ACTIVE
g3.uz | 26-Jul-2026 | ACTIVE
g4.uz | 26-Jul-2026 | ACTIVE
g5.uz | 26-Jul-2026 | ACTIVE
g6.uz | 26-Jul-2026 | ACTIVE
g7.uz | 27-Oct-2026 | ACTIVE
g8.uz | 26-Jul-2026 | ACTIVE
g9.uz | 26-Jul-2026 | ACTIVE
ha.uz | 07-Jul-2028 | ACTIVE
hb.uz | 09-Jul-2026 | ACTIVE
hc.uz | 19-Dec-2026 | ACTIVE
hd.uz | 21-May-2026 | ACTIVE
he.uz | 02-Nov-2026 | ACTIVE
hf.uz | 30-Jan-2027 | ACTIVE
hg.uz | 08-Oct-2026 | ACTIVE
hh.uz | 01-May-2026 | ACTIVE
hi.uz | 15-Mar-2026 | ACTIVE
hj.uz | 06-Aug-2026 | ACTIVE
hk.uz | 16-Apr-2026 | ACTIVE
hl.uz | 07-Jun-2026 | ACTIVE
hm.uz | 11-Sep-2033 | ACTIVE
hn.uz | 09-Jul-2026 | ACTIVE
ho.uz | 29-Dec-2026 | ACTIVE
hp.uz | 15-Jan-2027 | ACTIVE
hq.uz | 05-Oct-2026 | ACTIVE
hr.uz | 27-Oct-2026 | ACTIVE
hs.uz | 05-Oct-2027 | ACTIVE
ht.uz | 15-Nov-2030 | ACTIVE
hu.uz | 09-Jul-2026 | ACTIVE
hv.uz | 09-Jul-2026 | ACTIVE
hw.uz | 09-Jul-2026 | ACTIVE
hx.uz | 28-May-2026 | ACTIVE
hy.uz | 07-Oct-2026 | ACTIVE
hz.uz | 09-Jul-2026 | ACTIVE
h0.uz | 27-Jun-2026 | ACTIVE
h1.uz | 25-Jun-2026 | ACTIVE
h2.uz | 03-Jan-2029 | ACTIVE
h3.uz | 26-Jul-2026 | ACTIVE
h4.uz | 26-Jul-2026 | ACTIVE
h5.uz | 26-Jul-2026 | ACTIVE
h6.uz | 26-Jul-2026 | ACTIVE
h7.uz | 02-Jun-2026 | ACTIVE
h8.uz | 26-Jul-2026 | ACTIVE
h9.uz | 26-Jul-2026 | ACTIVE
ia.uz | 20-Dec-2026 | ACTIVE
ib.uz | 04-Jul-2026 | ACTIVE
ic.uz | 24-Jul-2026 | ACTIVE
id.uz | - | RESERVED
ie.uz | 23-Jan-2028 | ACTIVE
if.uz | 19-Jul-2026 | ACTIVE
ig.uz | 01-Nov-2026 | ACTIVE
ih.uz | 09-Sep-2026 | ACTIVE
ii.uz | 27-Oct-2026 | ACTIVE
ij.uz | 18-Jun-2026 | ACTIVE
ik.uz | 09-Jul-2026 | ACTIVE
il.uz | 19-Sep-2027 | ACTIVE
im.uz | 21-Jan-2027 | ACTIVE
in.uz | 31-Mar-2027 | ACTIVE
io.uz | 31-Jul-2031 | ACTIVE
ip.uz | 22-Aug-2027 | ACTIVE
iq.uz | 04-Nov-2026 | ACTIVE
ir.uz | 27-Oct-2026 | ACTIVE
is.uz | 11-Nov-2029 | ACTIVE
it.uz | 21-Jul-2032 | ACTIVE
iu.uz | 12-Dec-2026 | ACTIVE
iv.uz | 09-Jun-2026 | ACTIVE
iw.uz | 26-Sep-2026 | ACTIVE
ix.uz | 13-Dec-2026 | ACTIVE
iy.uz | 09-Jul-2026 | ACTIVE
iz.uz | 09-Jul-2026 | ACTIVE
i0.uz | 26-Jul-2026 | ACTIVE
i1.uz | 14-Jan-2027 | ACTIVE
i2.uz | 27-Nov-2026 | ACTIVE
i3.uz | 11-Mar-2027 | ACTIVE
i4.uz | 26-Jul-2026 | ACTIVE
i5.uz | 12-Nov-2026 | ACTIVE
i6.uz | 26-Jul-2026 | ACTIVE
i7.uz | 25-Sep-2027 | ACTIVE
i8.uz | 15-Jun-2026 | ACTIVE
i9.uz | 26-Jul-2026 | ACTIVE
ja.uz | 09-Jul-2026 | ACTIVE
jb.uz | 09-Jul-2026 | ACTIVE
jc.uz | 24-Jul-2026 | ACTIVE
jd.uz | 03-Oct-2026 | ACTIVE
je.uz | 09-Jul-2026 | ACTIVE
jf.uz | 09-Jul-2026 | ACTIVE
jg.uz | 14-Apr-2026 | ACTIVE
jh.uz | 09-Jul-2026 | ACTIVE
ji.uz | 29-Aug-2026 | ACTIVE
jj.uz | 19-Aug-2026 | ACTIVE
jk.uz | 09-Jul-2026 | ACTIVE
jl.uz | 09-Jul-2026 | ACTIVE
jm.uz | 24-Sep-2030 | ACTIVE
jn.uz | 09-Jul-2026 | ACTIVE
jo.uz | 16-Dec-2026 | ACTIVE
jp.uz | 01-Dec-2026 | ACTIVE
jq.uz | 07-Sep-2026 | ACTIVE
jr.uz | 25-Mar-2026 | ACTIVE
js.uz | 07-Aug-2033 | ACTIVE
jt.uz | 28-Sep-2026 | ACTIVE
ju.uz | 09-Jul-2026 | ACTIVE
jv.uz | 09-Jul-2026 | ACTIVE
jw.uz | 09-Jul-2026 | ACTIVE
jx.uz | 21-Jul-2026 | ACTIVE
jy.uz | 23-Jul-2026 | ACTIVE
jz.uz | 29-Aug-2026 | ACTIVE
j0.uz | 26-Jul-2026 | ACTIVE
j1.uz | 11-Feb-2026 | ACTIVE
j2.uz | 26-Jul-2026 | ACTIVE
j3.uz | 26-Jul-2026 | ACTIVE
j4.uz | 26-Jul-2026 | ACTIVE
j5.uz | 26-Jul-2026 | ACTIVE
j6.uz | 26-Jul-2026 | ACTIVE
j7.uz | 19-Feb-2027 | ACTIVE
j8.uz | 26-Jul-2026 | ACTIVE
j9.uz | 26-Jul-2026 | ACTIVE
ka.uz | 09-Jul-2026 | ACTIVE
kb.uz | 06-Jun-2026 | ACTIVE
kc.uz | 14-Jan-2027 | ACTIVE
kd.uz | 20-Apr-2026 | ACTIVE
ke.uz | 09-Jul-2026 | ACTIVE
kf.uz | 09-Jul-2026 | ACTIVE
kg.uz | 14-Mar-2026 | ACTIVE
kh.uz | 09-Jul-2026 | ACTIVE
ki.uz | 24-Dec-2026 | ACTIVE
kj.uz | 12-Dec-2026 | ACTIVE
kk.uz | 30-Dec-2026 | ACTIVE
kl.uz | 19-May-2026 | ACTIVE
km.uz | 17-Dec-2026 | ACTIVE
kn.uz | 09-Jul-2026 | ACTIVE
ko.uz | 21-Jul-2026 | ACTIVE
kp.uz | 16-Oct-2034 | ACTIVE
kq.uz | 05-Oct-2026 | ACTIVE
kr.uz | 18-Jun-2026 | ACTIVE
ks.uz | 16-May-2026 | ACTIVE
kt.uz | 09-Jul-2026 | ACTIVE
ku.uz | 29-Apr-2035 | ACTIVE
kv.uz | 03-Feb-2028 | ACTIVE
kw.uz | 12-Oct-2026 | ACTIVE
kx.uz | 09-Jul-2026 | ACTIVE
ky.uz | 06-Aug-2026 | ACTIVE
kz.uz | 04-Jan-2027 | ACTIVE
k0.uz | 17-May-2031 | ACTIVE
k1.uz | 27-Feb-2028 | ACTIVE
k2.uz | 25-Mar-2026 | ACTIVE
k3.uz | 17-Jan-2026 | REDEMPTION PERIOD
k4.uz | 26-Jul-2026 | ACTIVE
k5.uz | 11-Jul-2026 | ACTIVE
k6.uz | 27-Jul-2026 | ACTIVE
k7.uz | 20-Dec-2026 | ACTIVE
k8.uz | 27-Jul-2026 | ACTIVE
k9.uz | 27-Jul-2026 | ACTIVE
la.uz | 11-Apr-2026 | ACTIVE
lb.uz | 07-Oct-2026 | ACTIVE
lc.uz | 07-Oct-2026 | ACTIVE
ld.uz | 07-Oct-2026 | ACTIVE
le.uz | 30-Oct-2026 | ACTIVE
lf.uz | 07-Oct-2026 | ACTIVE
lg.uz | 09-Jul-2026 | ACTIVE
lh.uz | 09-Jul-2026 | ACTIVE
li.uz | 05-Sep-2026 | ACTIVE
lj.uz | 07-Jun-2026 | ACTIVE
lk.uz | 12-Dec-2026 | ACTIVE
ll.uz | 30-Dec-2026 | ACTIVE
lm.uz | 12-Oct-2026 | ACTIVE
ln.uz | 09-Jul-2026 | ACTIVE
lo.uz | 20-Feb-2026 | ACTIVE
lp.uz | 25-Mar-2026 | ACTIVE
lq.uz | 09-Jul-2026 | ACTIVE
lr.uz | 09-Jul-2026 | ACTIVE
ls.uz | 07-Oct-2026 | ACTIVE
lt.uz | 08-Apr-2028 | ACTIVE
lu.uz | 09-Jul-2026 | ACTIVE
lv.uz | 09-Jul-2026 | ACTIVE
lw.uz | 09-Jul-2026 | ACTIVE
lx.uz | 25-Feb-2027 | ACTIVE
ly.uz | 06-Aug-2026 | ACTIVE
lz.uz | 09-Jul-2026 | ACTIVE
l0.uz | 27-Jul-2026 | ACTIVE
l1.uz | 26-Jul-2026 | ACTIVE
l2.uz | 11-Oct-2027 | ACTIVE
l3.uz | 13-Dec-2026 | ACTIVE
l4.uz | 27-Jul-2026 | ACTIVE
l5.uz | 20-May-2026 | ACTIVE
l6.uz | 27-Jul-2026 | ACTIVE
l7.uz | 27-Jul-2026 | ACTIVE
l8.uz | 27-Jul-2026 | ACTIVE
l9.uz | 27-Jul-2026 | ACTIVE
ma.uz | 01-Jul-2027 | ACTIVE
mb.uz | 10-Sep-2034 | ACTIVE
mc.uz | 30-Jun-2028 | ACTIVE
md.uz | 27-Feb-2033 | ACTIVE
me.uz | 14-Nov-2026 | ACTIVE
mf.uz | 15-Aug-2028 | ACTIVE
mg.uz | 01-Apr-2028 | ACTIVE
mh.uz | 23-Nov-2026 | ACTIVE
mi.uz | 05-Jan-2028 | ACTIVE
mj.uz | 20-Nov-2032 | ACTIVE
mk.uz | 24-Mar-2026 | ACTIVE
ml.uz | 01-Apr-2026 | ACTIVE
mm.uz | 06-May-2026 | ACTIVE
mn.uz | 30-Oct-2026 | ACTIVE
mo.uz | 20-Feb-2026 | ACTIVE
mp.uz | 08-Jan-2027 | ACTIVE
mq.uz | 21-Jul-2026 | ACTIVE
mr.uz | 29-Aug-2026 | ACTIVE
ms.uz | 12-Oct-2030 | ACTIVE
mt.uz | 02-Feb-2027 | ACTIVE
mu.uz | 18-Nov-2026 | ACTIVE
mv.uz | 30-Jun-2026 | ACTIVE
mw.uz | 16-Dec-2026 | ACTIVE
mx.uz | 04-Jul-2026 | ACTIVE
my.uz | 14-Jun-2032 | ACTIVE
mz.uz | 08-Jan-2027 | ACTIVE
m0.uz | 27-Jul-2026 | ACTIVE
m1.uz | 21-May-2026 | ACTIVE
m2.uz | 11-Mar-2026 | ACTIVE
m3.uz | 04-Feb-2027 | ACTIVE
m4.uz | 27-Jul-2026 | ACTIVE
m5.uz | 07-Apr-2027 | ACTIVE
m6.uz | 27-Jul-2026 | ACTIVE
m7.uz | 11-Feb-2027 | ACTIVE
m8.uz | 27-Jul-2026 | ACTIVE
m9.uz | 27-Jul-2026 | ACTIVE
na.uz | 04-Feb-2027 | ACTIVE
nb.uz | 07-Oct-2026 | ACTIVE
nc.uz | 24-Dec-2026 | ACTIVE
nd.uz | 20-Oct-2026 | ACTIVE
ne.uz | 19-Feb-2026 | ACTIVE
nf.uz | 16-Jun-2034 | ACTIVE
ng.uz | 13-Nov-2026 | ACTIVE
nh.uz | 29-Aug-2026 | ACTIVE
ni.uz | 09-Jul-2026 | ACTIVE
nj.uz | 10-Jul-2026 | ACTIVE
nk.uz | 29-Aug-2026 | ACTIVE
nl.uz | 29-May-2026 | ACTIVE
nm.uz | 10-Jan-2027 | ACTIVE
nn.uz | 17-Mar-2030 | ACTIVE
no.uz | 09-Oct-2026 | ACTIVE
np.uz | 07-Oct-2027 | ACTIVE
nq.uz | 05-Oct-2026 | ACTIVE
nr.uz | 28-Apr-2026 | ACTIVE
ns.uz | - | RESERVED
nt.uz | 07-Oct-2026 | ACTIVE
nu.uz | 08-Oct-2026 | ACTIVE
nv.uz | 18-Mar-2027 | ACTIVE
nw.uz | 29-Aug-2026 | ACTIVE
nx.uz | 03-Mar-2026 | ACTIVE
ny.uz | 06-Aug-2026 | ACTIVE
nz.uz | 09-Jul-2026 | ACTIVE
n0.uz | 27-Jul-2026 | ACTIVE
n1.uz | 03-Jan-2027 | ACTIVE
n2.uz | 12-Feb-2026 | ACTIVE
n3.uz | 27-Jul-2026 | ACTIVE
n4.uz | 27-Jul-2026 | ACTIVE
n5.uz | 27-Jul-2026 | ACTIVE
n6.uz | 27-Jul-2026 | ACTIVE
n7.uz | 27-Jul-2026 | ACTIVE
n8.uz | 27-Jul-2026 | ACTIVE
n9.uz | 27-Jul-2026 | ACTIVE
oa.uz | 09-Jul-2026 | ACTIVE
ob.uz | 19-Feb-2026 | ACTIVE
oc.uz | 09-Jul-2026 | ACTIVE
od.uz | 08-Oct-2026 | ACTIVE
oe.uz | 30-Nov-2033 | ACTIVE
of.uz | 04-Feb-2027 | ACTIVE
og.uz | 08-Oct-2026 | ACTIVE
oh.uz | 09-Jul-2026 | ACTIVE
oi.uz | 07-Sep-2026 | ACTIVE
oj.uz | 18-Feb-2027 | ACTIVE
ok.uz | 29-May-2028 | ACTIVE
ol.uz | 30-May-2033 | ACTIVE
om.uz | 18-Mar-2026 | ACTIVE
on.uz | 30-Jan-2027 | ACTIVE
oo.uz | 15-Jan-2027 | ACTIVE
op.uz | 20-Feb-2026 | ACTIVE
oq.uz | 21-Jul-2026 | ACTIVE
or.uz | 29-Jun-2026 | ACTIVE
os.uz | 24-Mar-2026 | ACTIVE
ot.uz | 16-Jun-2026 | ACTIVE
ou.uz | 09-Jul-2026 | ACTIVE
ov.uz | 09-Jul-2026 | ACTIVE
ow.uz | 09-Jul-2026 | ACTIVE
ox.uz | 28-Feb-2029 | ACTIVE
oy.uz | 28-Mar-2026 | ACTIVE
oz.uz | 19-Oct-2027 | ACTIVE
o0.uz | 27-Jul-2026 | ACTIVE
o1.uz | 27-Jul-2026 | ACTIVE
o2.uz | 15-May-2026 | ACTIVE
o3.uz | 20-Dec-2026 | ACTIVE
o4.uz | 27-Jul-2026 | ACTIVE
o5.uz | 23-Apr-2031 | ACTIVE
o6.uz | 27-Jul-2026 | ACTIVE
o7.uz | 07-Dec-2026 | ACTIVE
o8.uz | 27-Jul-2026 | ACTIVE
o9.uz | 27-Jul-2026 | ACTIVE
pa.uz | 17-Jul-2033 | ACTIVE
pb.uz | 08-Oct-2026 | ACTIVE
pc.uz | 19-Mar-2030 | ACTIVE
pd.uz | 04-Oct-2026 | ACTIVE
pe.uz | 21-Jul-2026 | ACTIVE
pf.uz | 25-Apr-2034 | ACTIVE
pg.uz | 15-May-2026 | ACTIVE
ph.uz | 30-Jan-2027 | ACTIVE
pi.uz | 13-Jun-2026 | ACTIVE
pj.uz | 06-Aug-2026 | ACTIVE
pk.uz | 13-Sep-2026 | ACTIVE
pl.uz | 12-Oct-2026 | ACTIVE
pm.uz | 26-Sep-2027 | ACTIVE
pn.uz | 09-Jul-2026 | ACTIVE
po.uz | 22-May-2029 | ACTIVE
pp.uz | - | RESERVED
pq.uz | 28-Sep-2026 | ACTIVE
pr.uz | 19-Sep-2027 | ACTIVE
ps.uz | 16-Feb-2027 | ACTIVE
pt.uz | 05-Aug-2029 | ACTIVE
pu.uz | 20-Oct-2028 | ACTIVE
pv.uz | 13-Nov-2029 | ACTIVE
pw.uz | 22-Jul-2028 | ACTIVE
px.uz | 21-Jul-2026 | ACTIVE
py.uz | 24-Mar-2026 | ACTIVE
pz.uz | 29-May-2031 | ACTIVE
p0.uz | 17-Feb-2026 | ACTIVE
p1.uz | 02-May-2026 | ACTIVE
p2.uz | 05-May-2026 | ACTIVE
p3.uz | 27-Jul-2026 | ACTIVE
p4.uz | 27-Jul-2026 | ACTIVE
p5.uz | 27-Jul-2026 | ACTIVE
p6.uz | 27-Jul-2026 | ACTIVE
p7.uz | 27-Jul-2026 | ACTIVE
p8.uz | 27-Jul-2026 | ACTIVE
p9.uz | 27-Jul-2026 | ACTIVE
qa.uz | 29-Aug-2026 | ACTIVE
qb.uz | 09-Jul-2026 | ACTIVE
qc.uz | 06-Aug-2026 | ACTIVE
qd.uz | 23-Jun-2026 | ACTIVE
qe.uz | 27-Dec-2026 | ACTIVE
qf.uz | 06-Aug-2026 | ACTIVE
qg.uz | 06-Aug-2026 | ACTIVE
qh.uz | 09-Jul-2026 | ACTIVE
qi.uz | 19-Aug-2026 | ACTIVE
qj.uz | 06-Aug-2026 | ACTIVE
qk.uz | 09-Jul-2026 | ACTIVE
ql.uz | 06-Aug-2026 | ACTIVE
qm.uz | 09-Jul-2026 | ACTIVE
